road_id,flood_direct_count,flood_direct_exposure,flood_events_5km,flood_events_10km,flood_nearby_5km,flood_nearby_10km,nearest_flood_distance_km
44721304,10,1,15,15,1,1,0.0
44721355,8,1,8,8,1,1,0.0
44721365,8,1,8,14,1,1,0.0
44721415,8,1,8,8,1,1,0.0
44721457,8,1,8,11,1,1,0.0
44721466,10,1,15,15,1,1,0.0
44721584,10,1,15,15,1,1,0.0
44721718,10,1,10,10,1,1,0.0
44721719,10,1,10,10,1,1,0.0
44721721,10,1,10,10,1,1,0.0
44721804,10,1,10,12,1,1,0.0
44722323,11,1,11,12,1,1,0.0
44722325,10,1,12,12,1,1,0.0
44733863,14,1,14,15,1,1,0.0
44733864,5,1,8,8,1,1,0.0
44733866,9,1,10,10,1,1,0.0
44733867,9,1,10,10,1,1,0.0
44733868,3,1,10,15,1,1,0.0
44733869,14,1,14,15,1,1,0.0
44734379,9,1,10,10,1,1,0.0
44734380,9,1,9,10,1,1,0.0
44734381,3,1,10,10,1,1,0.0
44734382,3,1,15,15,1,1,0.0
44734383,3,1,15,15,1,1,0.0
44734384,14,1,14,14,1,1,0.0
44734385,14,1,14,14,1,1,0.0
44734387,14,1,14,14,1,1,0.0
44734389,14,1,14,14,1,1,0.0
44734593,14,1,14,14,1,1,0.0
44734594,14,1,14,15,1,1,0.0
44734595,14,1,14,14,1,1,0.0
44734596,14,1,14,14,1,1,0.0
44736736,10,1,10,15,1,1,0.0
44736737,14,1,14,15,1,1,0.0
44736738,1,1,1,1,1,1,0.0
44736739,14,1,14,15,1,1,0.0
44736741,14,1,14,15,1,1,0.0
44736742,1,1,1,1,1,1,0.0
44736743,1,1,1,1,1,1,0.0
44736940,14,1,14,15,1,1,0.0
44736947,14,1,15,15,1,1,0.0
44768595,6,1,6,11,1,1,0.0
44768597,6,1,6,12,1,1,0.0
44768600,6,1,6,11,1,1,0.0
44768708,6,1,6,11,1,1,0.0
44768992,0,0,0,0,0,0,56.571944165884545
44768993,0,0,0,0,0,0,63.453173645827555
44768994,0,0,0,0,0,0,61.99212873214672
44768995,0,0,0,0,0,0,61.7956127394134
44768996,0,0,0,0,0,0,64.29390769246235
44768997,0,0,0,0,0,0,61.720083706115695
44768999,0,0,0,0,0,0,44.25752052343968
44769003,0,0,0,0,0,0,30.35753790045189
44769004,0,0,0,0,0,0,30.29972424559086
44769125,4,1,5,5,1,1,0.0
44769127,4,1,4,5,1,1,0.0
44769128,4,1,4,4,1,1,0.0
44769129,4,1,4,4,1,1,0.0
44769130,4,1,4,4,1,1,0.0
44769131,4,1,4,4,1,1,0.0
44769326,4,1,4,4,1,1,0.0
44769327,1,1,1,1,1,1,0.0
44769328,1,1,1,2,1,1,0.0
44769330,1,1,5,5,1,1,0.0
44769333,1,1,5,5,1,1,0.0
44769338,4,1,4,4,1,1,0.0
44769339,4,1,4,5,1,1,0.0
44769340,4,1,4,5,1,1,0.0
44769565,1,1,1,2,1,1,0.0
44769567,1,1,1,1,1,1,0.0
44769568,1,1,1,1,1,1,0.0
44769769,2,1,8,8,1,1,0.0
44769770,2,1,8,8,1,1,0.0
44769771,2,1,8,8,1,1,0.0
44769772,2,1,8,8,1,1,0.0
44769773,2,1,8,8,1,1,0.0
44769774,8,1,8,8,1,1,0.0
44769775,8,1,8,8,1,1,0.0
44769776,8,1,8,8,1,1,0.0
44769777,8,1,8,8,1,1,0.0
44769778,8,1,8,8,1,1,0.0
44769780,8,1,8,8,1,1,0.0
44848664,3,1,3,3,1,1,0.0
44848699,0,0,0,0,0,0,12.077144823517163
44848701,0,0,0,0,0,0,17.582580752250966
