road_id,road_type,name,ref,surface,lanes,maxspeed,oneway,bridge,tunnel,latitude,longitude
44639859,primary,,SH3,,2,,yes,,,26.184996494736843,91.84053349999999
44641071,trunk,,NH427,,,,,,,26.190356389510484,91.64952963986013
44641072,tertiary,,,,,,,,,26.200100286956523,91.64362663913043
44641091,unclassified,,,,,,,,,26.182548585294118,91.68182267352942
44641101,secondary,,,,,,,,,26.18390174285714,91.66877455714283
44641105,secondary,,,,,,,,,26.18325745,91.67160609999999
44641120,secondary,,,,,,,,,26.18285993333333,91.67583225
44641131,trunk,,NH427,,,,yes,,,26.18794999117647,91.66834293235294
44641140,primary,,SH41,,,,yes,,,26.209612878225816,91.59110928548387
44641222,secondary,,,,,,,,,26.190053505263155,91.71390032631578
44641257,secondary,,,,,,,,,26.181805793421052,91.68739115526314
44642944,trunk,,NH17,,2,,yes,,,26.157551966666666,91.6724208
44643002,residential,,,,,,,,,26.1510388,91.65128306666668
44643106,primary,,,,,,yes,,,26.158204879166675,91.68145883749997
44643131,primary,,,,,,yes,,,26.15820542000001,91.67997847999999
44643152,primary,Assam Trunk Road Flyover,,,,30,yes,yes,,26.158971500000003,91.69174763333335
44643275,trunk,,NH27,,,,yes,,,26.11313282727273,91.73232744545454
44643283,trunk,,NH27,,,,yes,yes,,26.115683949999998,91.71937975
44643353,trunk,NH37,NH27,,,,yes,,,26.118427477777782,91.81746797777778
44643354,trunk,,NH27,,,,yes,,,26.111746999999998,91.74564615
44643380,primary,,,,,,,,,26.11942593809524,91.82247560952383
44643397,tertiary,,,,,,yes,,,26.119005541666667,91.820792825
44643572,service,,,,,,,,,26.10316850444444,91.86370766000002
44644201,tertiary,,,,2,,no,,,26.121337609523806,91.81704617142857
44644259,tertiary,Ganesh Nager Road,,asphalt,2,60,,,,26.091687846808505,91.79277839574468
44644278,tertiary,,,,,,,yes,,26.10191315,91.79747635000001
44644279,tertiary,,,,,,,,,26.099775277777777,91.8007847222222
44644280,tertiary,,,,,,,,,26.1020673,91.7972446
44644337,residential,,,,,,,,,26.102694000000003,91.8007641
44644341,tertiary,pilingkata road,,,,,,,,26.106466931249994,91.80148867812498
44644363,tertiary,patarkuchi road,,,,,,,,26.106974555421694,91.80611955301204
44644445,tertiary,Pir Azan Fakir Road,,,2,,yes,,,26.12310555555555,91.80262921111114
44644447,tertiary,,,,,,yes,,,26.12353225,91.798923175
44644449,tertiary,,,,,,yes,,,26.123387642857143,91.7993576142857
44644455,residential,,,,,,,,,26.1259631,91.8013451105263
44644556,primary,Kalaguru Bishnuprasad Rabha Flyover,,,,,yes,yes,,26.14943254,91.78563928
44644560,primary,G.S. Road,,,,,yes,,,26.16284285,91.77092475
44644584,service,,,,,,,,,26.18123475,91.7503591125
44644633,secondary,Lokhra-Lalganesh Road,,,,,,,,26.141312306666673,91.74032997833335
44645090,tertiary,,,,,,,,,26.248101657142854,91.78237872857143
44645091,tertiary,,,,,,,yes,,26.247991300000002,91.7829322
44645092,tertiary,,,,,,,,,26.24799556808512,91.81655631205672
44645096,unclassified,,,,,,,,,26.24223601250001,91.7644026015625
44645097,unclassified,,,,,,,,,26.24992885714286,91.78241521428572
44645149,tertiary,,,,,,,,,26.247609898795183,91.7672952927711
44645504,unclassified,,,,,,,,,26.239407366666665,91.75052167619049
44645516,tertiary,,,,,,,yes,,26.243327649999998,91.75099775000001
